model_name,author,model_class,params,hash,license,task,groq_chips_used,groq_estimated_latency,nvidia_latency,x86_latency,onnx_exported,onnx_optimized,onnx_converted
vit_small_r26_s32_384,timm,ResNetV2,13946176,89f5732b,-,Computer_Vision,-,-,-,-,True,False,False
vit_small_r26_s32_384,timm,VisionTransformer,36468392,ca2c90cd,-,Computer_Vision,-,-,-,-,True,False,False
volo_d5_512,timm,VOLO,296091488,884204eb,-,Computer_Vision,-,-,-,-,False,False,False
xcit_nano_12_p16_224_dist,timm,Xcit,3053224,44d6a0c6,-,Computer_Vision,-,-,-,-,True,False,False
xcit_nano_12_p8_224,timm,Xcit,3049016,7bb30983,-,Computer_Vision,-,-,-,-,True,False,False
xcit_tiny_12_p16_384_dist,timm,Xcit,6716272,d7f73d6b,-,Computer_Vision,-,-,-,-,True,False,False
yolos_tiny_for_object_detection,huggingface_pytorch,YolosForObjectDetection,6488736,8f6a6a55,-,Computer_Vision,-,-,-,-,True,False,False
beit_base_patch16_224,timm,Beit,86530984,9e572183,-,Computer_Vision,-,-,-,-,True,False,False
coat_lite_small,timm,CoaT,19838504,690c6785,-,Computer_Vision,-,-,-,-,True,False,False
convnext_base_384_in22ft1k,timm,ConvNeXt,88591464,9de2aba1,-,Computer_Vision,-,-,-,-,True,False,False
convnext_tiny_384_in22ft1k,timm,ConvNeXt,28589128,9606cb68,-,Computer_Vision,-,-,-,-,True,False,False
crossvit_9_240,timm,CrossVit,8553296,de0e04f9,-,Computer_Vision,-,-,-,-,True,False,False
cs3darknet_focus_x,timm,CspNet,35025000,8107de2c,-,Computer_Vision,-,-,-,-,True,False,False
cspresnext50,timm,CspNet,20569896,0e30663e,-,Computer_Vision,-,-,-,-,True,False,False
deit3_small_patch16_224_in21ft1k,timm,VisionTransformer,22059496,dc9847f3,-,Computer_Vision,-,-,-,-,True,False,False
deit_tiny_distilled_patch16_224,timm,VisionTransformerDistilled,5910800,ae1465db,-,Computer_Vision,-,-,-,-,True,False,False
deit_tiny_for_image_classification,transformers,ViTForImageClassification,5717416,4f7bba18,-,Computer_Vision,-,-,-,-,True,False,False
dla169,timm,DLA,53389720,2cf50411,-,Computer_Vision,-,-,-,-,True,False,False
dpn98,timm,DPN,61570728,18c2a366,-,Computer_Vision,-,-,-,-,True,False,False
eca_vovnet39b,timm,VovNet,22600316,608c4a7a,-,Computer_Vision,-,-,-,-,True,False,False
ecaresnet50d,timm,ResNet,25576350,a6fa0e6f,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_b2a,timm,EfficientNet,9109994,188b8bf0,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_b5,torch_hub,EfficientNet,30389784,204c9208,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_cc_b1_8e,timm,EfficientNet,39715968,d2d5ca59,-,Computer_Vision,-,-,-,-,True,False,False
efficientnetv2_rw_m,timm,EfficientNet,53236442,4663c497,-,Computer_Vision,-,-,-,-,True,False,False
funnel_base,transformers,FunnelBaseModel,115611648,37ecc84c,-,Natural_Language_Processing,-,-,-,-,True,False,False
gcresnext26ts,timm,ByobNet,10476600,3e774d88,-,Computer_Vision,-,-,-,-,True,False,False
gluon_resnet101_v1c,timm,ResNet,44568392,a8e137e9,-,Computer_Vision,-,-,-,-,True,False,False
gluon_resnext50_32x4d,timm,ResNet,25028904,baf7f18f,-,Computer_Vision,-,-,-,-,True,False,False
halonet_h1,timm,ByobNet,8100056,7af7ad5d,-,Computer_Vision,-,-,-,-,False,False,False
ig_resnext101_32x16d,timm,ResNet,88791336,a37f8b3b,-,Computer_Vision,-,-,-,-,True,False,False
lambda_resnet26t,timm,ByobNet,10958272,10eba1dc,-,Computer_Vision,-,-,-,-,True,False,False
legacy_seresnext26_32x4d,timm,SENet,16790280,cb4c92c0,-,Computer_Vision,-,-,-,-,True,False,False
marian,transformers,MarianModel,74410496,ea99ab2b,-,Natural_Language_Processing,-,-,-,-,True,False,False
megatron_bert,transformers,MegatronBertModel,333640704,2fa53f3f,-,Natural_Language_Processing,-,-,-,-,False,False,False
mixer_l32_224,timm,MlpMixer,206939264,f8de22a0,-,Computer_Vision,-,-,-,-,True,False,False
mobilenet_v3_small,torch_hub,MobileNetV3,2542856,e7fae853,-,Computer_Vision,-,-,-,-,True,False,False
mobilenetv3_large_100_miil,timm,MobileNetV3,5483032,ffa3e1dd,-,Computer_Vision,-,-,-,-,True,False,False
mobilevitv2_175_in22ft1k,timm,ByobNet,14251833,ee34879e,-,Computer_Vision,-,-,-,-,True,False,False
nf_resnet101,timm,NormFreeNet,44549160,6e3dc13e,-,Computer_Vision,-,-,-,-,True,False,False
nfnet_f0,timm,NormFreeNet,71489272,dc60a8a2,-,Computer_Vision,-,-,-,-,True,False,False
pit_ti_distilled_224,timm,PoolingVisionTransformer,5104336,51ea49af,-,Computer_Vision,-,-,-,-,True,False,False
poolformer,transformers,PoolFormerModel,11401152,a8cfe755,-,Natural_Language_Processing,-,-,-,-,True,False,False
